date sighted,date reported,duration,city,state,geocode score,geocode precision,latitude,longitude
19741224,20001011,15 seconds, Tegucigalpa (Honduras),,0.797,zip,14.1,-87.2166667
20010716,20060622,unknown, Harrison, MI,0.804,zip,34.2719444,47.5805556
20050630,20070215,quick, Corsicana, TX,0.759,zip,51.188975,6.54045
20100408,20100413,8 minutes, Brady, WA,0.738,zip,33.8719444,35.5097222
20080112,20080112,7:45, Chesterfield Inlet,,0.817,zip,37.3834825,-77.5997122
20030310,20030311,5-7 minutes, San Diego, CA,0.732,zip,34.2583333,108.9286111
20040917,20040919,3 HRS. 15 MIN., Phoenix, AZ,0.857,zip,33.4483771,-112.0740373
20020425,20020428,~60 seconds, Flagstaff (near; over US 40), NV,0.735,zip,34.6850548003686,135.804850459099
20050321,20050320,1:46, Palmerston North,,0.857,zip,-40.35,175.6166667
20030429,20030520,, Norway,,0.857,zip,44.2139587,-70.5447825
20011118,20011129,1 minute, Cross River, NY,0.81,zip,5.75,8.5
20090220,20090220,2 hours?, Anthem, AZ,0.821,zip,37.4666667,23.3333333
19960412,19960412,7 min., Olathe, KS,0.857,zip,38.8813958,-94.8191285
20040909,20040909,2 minutes, Racine, WI,0.857,zip,42.7261309,-87.7828523
19991026,19991110,2 hours on and off, Melbourne Beach, FL,0.806,zip,-37.8139965641595,144.963322877884
20011117,20011118,till 24:00, Spring Valley, CA,0.786,zip,-26.25,28.4
20080217,20080217,12 minutes, Carlsbad, CA,0.857,zip,33.1580933,-117.3505939
20070516,20070523,15 minutes, Lovelock, NV,0.857,zip,40.1793537,-118.4734808
20030127,20030127,3 hours, Doylestown, PA,0.857,zip,40.3101063,-75.129894
20051123,20051206,30 minutes, Kingston (Canada), ON,0.776,zip,60.0,-96.0
20010624,20010626,15 minutes approx., Derby (UK/England),,0.765,zip,52.9227723427478,-1.47663116455078
19741014,20040603,1 minutes, Fulton, MO,0.776,zip,17.9833333,74.4333333
19741115,20060126,0:08, West Orange, NJ,0.78,zip,24.492147541216,-12.65625
19761126,20010930,15 minutes, Houston, TX,0.857,zip,29.7632836,-95.3632715
20090615,20090615,3 seconds, Bideford (UK/England),,0.765,zip,52.1345944105091,-0.466318130493164
20080429,20080529,5-10 seconds, Metairie, LA,0.75,zip,9.9333333,78.1166667
19920611,20010110,16:29, Nowra (Australia),,0.768,zip,65.0,26.0
19970810,20040103,100 seconds, Newbury (Canada), ON,0.78,zip,60.0,-96.0
19980813,20060505,3-5 seconds, Hampton, NH,0.78,zip,42.1667596,-72.5828665
19750701,20061207,2-3 minutes, Kansas CIty, MO,0.8,zip,38.5002888,-98.5006275
20040815,20040815,35min, Eugene, OR,0.857,zip,44.0520691,-123.0867536
20060724,20060805,Less than a minute, Conil (Spain),,0.743,zip,53.2333333,50.65
20080703,20080706,2 to 3 seconds, Raleigh, NC,0.857,zip,35.772096,-78.6386145
20100305,20100305,10 seconds, Buffalo (near), TX,0.74,zip,34.6850548003686,135.804850459099
20080423,20080520,15 seconds, Miami, FL,0.857,zip,25.7742658,-80.1936589
20041207,20041207,15-25 minutes, Kingsport, TN,0.857,zip,36.548434,-82.5618186
20010913,20011011,, Centerville, OH,0.831,zip,38.8403909,-77.4288769
20070813,20070815,10-15 seconds, Dallas, TX,0.857,zip,32.7830556,-96.8066667
20060925,20070131,30 seconds, Houston, TX,0.857,zip,29.7632836,-95.3632715
19960620,20020702,3 minutes, Kanab, UT,0.786,zip,18.3574502,-66.1109998
20091204,20091204,, Liepaja (Latvia),,0.791,zip,56.5166667,21.0166667
20060819,20081130,2 Hours, Buckhannon, WV,0.857,zip,38.9939872,-80.2320276
20100109,20100129,2-5 minutes, Brick, NJ,0.8,zip,44.8727778,18.8083333
20050715,20050716,5 min, Porter, ME,0.768,zip,-25.7069444,28.2294444
19991116,19991117,1 minute or so, Columbus, MI,0.857,zip,39.9611755,-82.9987942
19921211,20040108,10mns. ?, St. Andrews (UK/Scotland),,0.744,zip,34.7614289625356,135.515670776367
20081009,20081010,5 seconds, Lombard, IL,0.857,zip,41.8800296,-88.0078435
20030715,20031223,30 min, El Cajon, CA,0.857,zip,32.7947731,-116.9625269
20020604,20031104,about 10;45 pm, Las Vegas, NV,0.857,zip,36.1749705,-115.137223
20070604,20070604,4 Seconds, Capitola, CA,0.792,zip,-31.8432379584905,-52.553226981132
19750101,20070218,na, Silver Hill, MD,0.743,zip,51.5,12.0
20020111,20020114,more than 1 hour, Daytona Beach, FL,0.75,zip,35.5833333,-5.5
20080408,20081110,Unknow, Sedona, AZ,0.762,zip,-33.8678499639382,151.207323074341
20060404,20060405,Approx 20 mins, Leigh (UK/England),,0.765,zip,53.4833333,-2.5166667
19990910,19990910,30 seconds, Fair Oaks/Sacramento, CA,0.73,zip,26.1947962,-98.1836216
19680815,20020121,15 seconds, Austin, TX,0.857,zip,30.267153,-97.7430608
20000306,20000306,10min, Silver Spring, MD,0.774,zip,-26.25,28.4
20090529,20090608,3 minutes, Washburn, TN,0.796,zip,45.8999475,-91.783509
19971015,19991110,5 min, Boulder, CO,0.755,zip,-8.1,112.15
19990717,19990725,5 min., Lemon Cove, CA,0.73,zip,50.4333333,30.5166667
20030704,20030707,2 MINUTES, Ridgeway, SC,0.786,zip,-8.7,34.3833333
20040515,20040530,10 seconds, Slidell, LA,0.768,zip,25.4166667,-101.0
20010128,20010129,3 to 4 mins, East Providence, RI,0.837,zip,4.0,14.0
20070214,20070214,2 minutes, Costa da Caparica (Portugal),,0.733,zip,13.1666667,32.6666667
20030711,20030711,5-10 minutes, Bay Shore, NY,0.768,zip,39.7747222,64.4286111
20080820,20080820,1 hour plus, Mount Pulaski, IL,0.75,zip,1.5016667,124.8441667
19980301,20010216,1 minute, New Albany, IN,0.81,zip,42.6525793,-73.7562317
20031119,20031125,30 sec, Trenton, MO,0.857,zip,40.2170534,-74.7429385
19531015,20021029,5 min., Mauriceville, TX,0.81,zip,48.0517637,-122.1770818
20020520,20050823,45 seconds, Fort Lewis, WA,0.746,zip,51.6,6.6833333
20040703,20040710,10 minutes, Lewisville, TX,0.857,zip,33.046233,-96.994174
20070809,20070829,1 min, Tucson, AZ,0.857,zip,32.2217429,-110.926479
20080605,20080611,45 minutes, Olive Branch, MS,0.753,zip,40.8273195113456,-73.9235687255859
20070801,20070804,10 minutes, Beaver Creek/Alaska Highway (Canada), YT,0.743,zip,60.0,-96.0
19950919,19950921,, Humbolt, CA,0.786,zip,40.6665237,-123.9178285
20020131,20020131,20 seconds, North Richland Hills, TX,0.77,zip,34.0168213,-80.9164784
19951111,19951112,10 sec., Kirkland, WA,0.857,zip,47.6814876,-122.2087353
20030520,20030620,2-3 minutes, Paducah, KY,0.755,zip,31.0166667,73.85
20100717,20100717,10 min, Blue Springs, MO,0.74,zip,6.3388889,-75.5622222
19990922,20000813,30 seconds, Shanghai,,0.857,zip,31.2222222,121.4580556
20100713,20100714,10 minutes, Paducah, KY,0.755,zip,31.0166667,73.85
20011101,20011119,continuous, Newport News, VA,0.74,zip,43.703126104186,7.26608276367188
20011014,20021027,12, Aurangabad (India),,0.81,zip,19.8833333,75.3333333
19850101,20090212,In View For 200 Feet Whil, Virginia Beach, VA,0.802,zip,37.5481160131894,-77.4467468261719
20070530,20070529,2 min, Keele (UK/England),,0.724,zip,3.4372222,-76.5225
19980710,20021027,2-3 minutes, Westford, VT,0.774,zip,38.5003838,-80.5000866
20020820,20020820,2 seconds, The Pas (Canada), MB,0.786,zip,60.0,-96.0
20080621,20080622,90 seconds, North Hollywood, CA,0.806,zip,34.0983425,-118.3267434
20011003,20020101,5 seconds, Bonifay, FL,0.768,zip,13.5833333,100.1166667
20020617,20021212,approximately 5 minutes, Niagra-on-the-lake (Canada), ON,0.755,zip,60.0,-96.0
20060528,20070102,3-1/2 minutes, Philadelphia, PA,0.81,zip,40.1253879,-74.9998916
20090905,20090907,1 min, Lake gGaston, NC,0.727,zip,53.1666667,63.5833333
20020419,20020504,1 1/2 Hours, Bloomingburgh, NY,0.802,zip,44.840798,-93.2982799
20021103,20021104,2-3 minutes, Livermore, CA,0.857,zip,37.6818745,-121.7680088
20030308,20030308,, Columbia, SC,0.804,zip,6.9319444,79.8477778
20020804,20060128,, Northumberland, PA,0.814,zip,40.8500856,-76.6663497
20050407,20050412,7 seconds, Hopkins, MN,0.791,zip,37.3333783,-87.5500016
20061001,20091114,1 hour, Thompson, MO,0.857,zip,55.743504129,-97.855790104
20060208,20060208,3 min, Panama City, FL,0.8,zip,8.9666667,-79.5333333
20040528,20080227,15-20 seconds, Anchorage, AK,0.857,zip,61.2180556,-149.9002778
20061209,20061209,15 seconds, Marina Del Rey/Mar Vista, CA,0.736,zip,4.0502778,9.7
20081122,20081123,10 minutes, Scottish Borders (UK/Scotland),,0.749,zip,54.0833333,12.2666667
20090718,20090719,30 seconds, Philadelphia, PA,0.81,zip,40.1253879,-74.9998916
19960619,20100211,two minutes, Fort Collins, CO,0.857,zip,40.5852602,-105.084423
19991013,19991022,1 hour at least, East Kilbride (South Lanarkshire) (UK/Scotland),,0.759,zip,55.7666667,-4.1666667
19590505,20030320,2 minutes, El Sobrante, CA,0.729,zip,7.9833333,49.8166667
20051017,20051017,7-8 seconds, Orlando, FL,0.857,zip,28.5383355,-81.3792365
20021114,20021114,northeast, Chapel Hill, TN,0.771,zip,51.5,12.0
20040915,20040920,3 seconds, Rancho Cucamonga, CA,0.762,zip,23.35,85.3333333
19760726,20070527,3 minutes, Warwick, NY,0.857,zip,41.700101,-71.4161671
20060504,20060515,2 1/2 hours,  Wausau/Greenbay (on Hwy. 29), WI,0.728,zip,16.4666667,107.6
20090409,20090410,90 seconds, Pawleys Island, NC,0.769,zip,18.7666667,84.4166667
20060817,20060819,30 MINUTES, Naples, FL,0.857,zip,26.1420358,-81.7948103
20070515,20070516,5-6 min., Cerritos, CA,0.857,zip,33.8583484,-118.0647871
19990911,19990911,35 min., Fargo, ND,0.857,zip,46.8771863,-96.7898034
19980607,19980723,2 min, Caracas, D.F. (Venezuela),0.857,zip,10.5,-66.9166667
19980130,19980130,2 seconds, Monroe City (3 miles East of), MO,0.734,zip,34.7614289625356,135.515670776367
20010228,20020518,5 minutes, Caldicot (UK/Wales), .,0.0,unmatched,,
20030629,20030630,15-20 minutes, Virginia Beach, VA,0.802,zip,37.5481160131894,-77.4467468261719
19881101,20011114,45 seconds, Clackamas, OR,0.8,zip,45.2495643,-122.1678596
20070623,20070623,less than 30 seconds, Carol Stream, IL,0.753,zip,41.1591667,27.8
20050113,20050113,10 seconds, Downers Grove, IL,0.75,zip,58.5969444,49.6583333
20080613,20080620,, Tromsoe (Norway),,0.747,zip,37.2241667,67.2783333
20061020,20061020,6 min, East Patchogue, NY,0.857,zip,40.7670427,-72.9962189
19980201,20031024,10 min, Newbury Park, CA,0.727,zip,9.35,2.6166667
20040914,20040914,2 seconds, Dallas, TX,0.857,zip,32.7830556,-96.8066667
